wban,latitude,longitude
14768,43.1167,-77.6767
14770,40.82056,-76.86417
14771,43.1111,-76.1038
14775,42.15778,-72.71611
14777,41.3336,-75.7269
14778,41.2433,-76.9217
14787,41.53333,-71.28333
14792,40.27694,-74.81583
14794,41.34972,-71.79889
14804,42.6083,-82.8183
14813,41.0375,-81.46417
14815,42.3075,-85.25111
14819,41.78611,-87.75222
14820,41.405,-81.85278
14821,39.99139,-82.88083
14822,42.40917,-83.01
14825,41.01361,-83.66861
14826,42.9666,-83.7494
14827,40.9705,-85.2063
14829,41.5333,-85.7833
14833,42.2667,-84.4667
14835,40.41222,-86.93694
14836,42.78028,-84.57889
14837,43.1405,-89.3452
14839,42.955,-87.9044
14840,43.17111,-86.23667
14841,45.5644,-84.7927
14842,40.6675,-89.6839
14845,43.53306,-84.07972
14847,46.4794,-84.3572
14848,41.7072,-86.3163
14850,44.74083,-85.5825
14852,41.25444,-80.67389
14853,42.23333,-83.53333
14858,47.16861,-88.48889
14860,42.08,-80.1825
14880,42.41667,-87.86667
14891,40.82028,-82.51778
14894,40.17639,-80.64722
14895,40.91667,-81.43333
14897,44.9288,-89.6277
14898,44.4794,-88.1366
14905,40.73333,-99
14910,45.8679,-95.3941
14913,46.8369,-92.1833
14914,46.92528,-96.81111
14916,47.9428,-97.1839
14918,48.5614,-93.3981
14919,46.9258,-98.6691
14920,43.8788,-91.2527
14921,43.21194,-90.18139
14922,44.8831,-93.2289
14923,41.46528,-90.52333
14925,43.9041,-92.4916
14926,45.5433,-94.0513
14927,44.93194,-93.05556
14929,45.4433,-98.413
14931,40.78333,-91.12528
14933,41.5338,-93.653
14935,40.9611,-98.3136
14936,44.3981,-98.2231
14937,41.63278,-91.54306
14938,40.09722,-92.54333
14939,40.8508,-96.7475
14940,43.1544,-93.3269
14941,41.9855,-97.4352
14942,41.3102,-95.8991
14943,42.3913,-96.3791
14944,43.5778,-96.7539
14946,44.9047,-97.1494
14950,41.1077,-92.4466
14966,43.0604,-92.6717
14972,43.16444,-95.20167
14989,40.89417,-97.62583
14990,41.8833,-91.7166
14991,44.8665,-91.4879
14992,44.54833,-95.08028
14994,40.78861,-99.77083
21504,19.7191,-155.053
21510,19.73556,-156.0489
21514,19.5354,-155.576
21515,19.645,-155.0827
22010,29.3784,-100.927
22016,29.3483,-103.2093
22501,22.03333,-159.7833
22516,20.89972,-156.4286
22519,21.45,-157.7833
22521,21.32389,-157.9294
22534,21.1545,-157.0961
22536,21.98389,-159.3406
22551,21.31667,-158.0667
23007,34.4272,-100.2831
23009,33.3075,-104.5083
23023,31.9475,-102.2086
23034,31.35167,-100.495
23040,31.7801,-103.2018
23042,33.6656,-101.8231
23044,31.81111,-106.3758
23047,35.2295,-101.7042
23048,35.18222,-103.6031
23049,35.61694,-106.0889
23050,35.0419,-106.6155
23051,36.4486,-103.1539
23052,36.74139,-104.5022
23054,35.65417,-105.1419
23055,31.83111,-104.8089
23061,37.4389,-105.8613
23064,37.92722,-100.7247
23065,39.36722,-101.6933
23066,39.1342,-108.54
23067,38.0494,-103.5122
23070,37.26222,-104.3378
23078,32.26222,-107.7206
23081,35.5144,-108.794
23090,36.74361,-108.2292
23091,30.91194,-102.9167
23110,36.33333,-119.95
23119,33.9,-117.25
23129,33.8116,-118.1463
23130,34.20972,-118.4892
23136,34.21667,-119.0833
23152,34.20056,-118.3575
23153,38.0511,-117.0902
23154,39.2952,-114.8466
23155,35.4344,-119.0542
23157,37.3711,-118.358
23158,33.6186,-114.7142
23159,37.70639,-112.1456
23160,32.1313,-110.9552
23161,34.8536,-116.7858
23169,36.0719,-115.1634
23174,33.938,-118.3888
23176,38.41667,-113.0167
23179,34.7675,-114.6188
23182,34.62944,-118.0836
23183,33.4277,-112.0038
23184,34.65167,-112.4208
23185,39.4838,-119.7711
23187,34.7436,-118.7242
23188,32.7336,-117.1831
23190,34.4258,-119.8425
23191,33.405,-118.4158
23194,35.0281,-110.7208
23199,32.81667,-115.6833
23213,38.5038,-122.8102
23225,39.2774,-120.7102
23230,37.72139,-122.2208
23232,38.5069,-121.495
23233,36.6636,-121.6081
23234,37.6197,-122.3647
23237,37.8891,-121.2258
23244,37.40583,-122.0481
23254,37.9917,-122.055
23257,37.28472,-120.5128
23258,37.6241,-120.9505
23259,36.58806,-121.8453
23271,38.5552,-121.4183
23272,37.7705,-122.4269
23273,34.8994,-120.4486
23275,39.12583,-123.2008
23277,36.93583,-121.7886
23285,37.6927,-121.8144
23293,37.3591,-121.924
23801,31.7901,-86.0004
23802,31.8814,-87.7367
23803,34.8223,-89.4348
23904,35.8201,-91.7812
23906,28.3045,-96.823
23907,30.6222,-98.0846
23908,37.4277,-94.5829
23909,37.6344,-91.7226
24011,46.7825,-100.7572
24012,46.7994,-102.7972
24013,48.2552,-101.2733
24015,40.16667,-103.2167
24017,42.8374,-103.0981
24018,41.15,-104.8167
24021,42.8154,-108.7261
24022,41.3167,-105.6833
24023,41.1213,-100.6694
24024,44.05111,-101.6011
24025,44.3813,-100.2855
24027,41.5944,-109.0529
24028,41.8705,-103.593
24029,44.7694,-106.9688
24030,41.0993,-102.9863
24032,42.8783,-100.55
24033,45.8069,-108.5422
24036,47.0492,-109.4578
24037,46.4266,-105.8825
24044,42.0573,-102.8017
24045,44.51667,-109.0167
24046,40.49278,-107.5242
24048,44.51694,-108.0822
24057,41.8,-107.2
24061,43.06417,-108.4589
24062,43.96583,-107.9508
24089,42.8977,-106.4739
24090,44.0433,-103.0536
24091,40.51,-101.62
24106,43.05,-115.8667
24110,47.20778,-119.3192
24112,47.51667,-111.1833
24121,40.8288,-115.7886
24126,41.19611,-112.0114
24127,40.7781,-111.9694
24128,40.9017,-117.808
24130,44.8428,-117.8086
24131,43.5666,-116.2405
24132,45.788,-111.1608
24133,42.5416,-113.7661
24135,45.9647,-112.5006
24137,48.6033,-112.3752
24138,45.2575,-112.5544
24141,47.3078,-119.5154
24143,47.4733,-111.3822
24144,46.6056,-111.9636
24145,43.51639,-112.0672
24146,48.3042,-114.2636
24149,46.3747,-117.0156
24150,45.6983,-110.4408
24152,45.51139,-118.4247
24153,46.9208,-114.0925
24154,47.45694,-115.645
24155,45.6983,-118.8547
24156,42.9202,-112.5711
24157,47.6216,-117.528
24160,46.09472,-118.2869
24162,44.02056,-117.0128
24163,46.26667,-119.1167
24164,42.58444,-110.1075
24172,40.0681,-118.5692
24213,40.8097,-124.1602
24215,41.3325,-122.3328
24216,40.1519,-122.2536
24217,48.79389,-122.5372
24219,45.6194,-121.1661
24220,47.03389,-120.5303
24221,44.1278,-123.2206
24222,47.90778,-122.2803
24225,42.3811,-122.8722
24227,46.9733,-122.9033
24229,45.5958,-122.6093
24230,44.2558,-121.1392
24231,43.23889,-123.3547
24232,44.905,-123.0011
24233,47.4444,-122.3138
24234,47.53028,-122.3008
24235,42.6003,-123.3641
24242,45.55111,-122.4089
24243,46.5683,-120.5428
24255,48.35,-122.6667
24257,40.5175,-122.2986
24259,41.78139,-122.4681
24283,40.97806,-124.1086
24284,43.41333,-124.2436
24286,41.78028,-124.2367
25308,55.0389,-131.5787
25309,58.3566,-134.564
25323,59.24333,-135.5094
25325,55.35667,-131.7117
25331,61.5961,-149.0916
25333,57.04806,-135.3647
25335,59.45556,-135.3239
25339,59.512,-139.6712
25367,55.58,-133.075
25379,57.0574,-135.3266
25380,58.4292,-135.69
25381,55.0455,-131.5877
25501,57.75111,-152.4856
25503,58.6829,-156.6563
25506,59.7494,-154.9089
25507,59.642,-151.4908
25516,59.44333,-151.7017
25522,58.2077,-155.9225
25624,55.22083,-162.7325
25628,56.6,-169.565
25630,55.3473,-160.466
25711,57.1575,-170.2119
25713,57.15528,-170.2222
26409,61.21694,-149.855
26410,60.4888,-145.4511
26411,64.8039,-147.8761
26412,62.9617,-141.9378
26415,63.9944,-145.7214
26422,64.77667,-141.1483
26425,62.1591,-145.4588
26435,64.55,-149.0717
26438,60.12833,-149.4167
26442,61.1303,-146.3517
26451,61.169,-150.0278
26491,61.17806,-149.9664
26492,60.785,-148.8389
26494,64.9735,-147.51
26502,64.32667,-158.7417
26510,62.9574,-155.6103
26523,60.5797,-151.2391
26528,62.32,-150.095
26529,65.175,-152.1067
26533,66.54,-151.31
26562,60.1951,-154.3196
26563,60.7237,-150.4484
26615,60.785,-161.8293
26616,66.86667,-162.6333
26617,64.5111,-165.44
26642,67.73167,-164.5483
26643,66.06889,-162.7639
26655,68.0277,-162.9212
27406,70.1917,-148.4772
27502,71.2834,-156.7815
27503,70.63917,-159.995
27515,70.21167,-151.0017
27516,71.3213,-156.611
41415,13.48333,144.8
41418,15.11667,145.7167
53002,32.8546,-104.4569
53003,35.1188,-107.8303
53004,37.601,-109.9886
53005,38.811,-106.1219
53006,31.6922,-111.4481
53007,39.0878,-105.0879
53008,34.5119,-103.1744
53009,35.0461,-108.3635
53010,38.1402,-109.6165
53012,37.2667,-109.6074
53013,37.4572,-113.2248
53014,37.2507,-109.9877
53015,33.0875,-104.1617
53016,34.1373,-104.9303
53017,36.7499,-107.2189
53119,36.31889,-119.6289
53120,33.0375,-116.9158
53121,33.21944,-117.3494
53123,36.21167,-115.1958
53131,32.2395,-111.1696
53132,31.5907,-110.5087
53136,36.624,-116.0225
53138,39.0118,-114.209
53139,36.602,-117.1449
53144,34.98833,-117.8647
53149,38.3028,-111.2935
53150,37.7592,-119.8208
53151,33.4392,-117.1904
53152,34.4141,-119.8796
53154,32.835,-114.1884
53155,35.7552,-112.3374
53156,33.3471,-112.0832
53159,35.5037,-111.3445
53160,34.6136,-111.8431
53162,32.9918,-111.5326
53163,33.9795,-107.1872
53164,36.8637,-111.6012
53165,39.3872,-112.5095
53167,40.5467,-111.4137
53168,31.9497,-112.8013
53169,36.6823,-110.5424
53170,34.3983,-110.5656
53171,38.5943,-113.7511
53172,34.2529,-114.134
53173,36.0346,-107.9045
53175,33.89765,-117.6024
53176,32.9649,-112.6697
53802,39.47806,-88.28028
53803,37.75,-87.16667
53808,31.46667,-89.33333
53819,33.35528,-84.56694
53820,31.41556,-87.04417
53838,34.27194,-83.83028
53841,38.18472,-84.90333
53842,39.825,-86.29583
53843,31.30889,-86.39389
53844,39.75556,-82.65722
53847,30.70444,-87.02306
53848,30.50694,-86.95972
53850,34.67194,-82.88639
53852,34.6525,-86.94528
53853,30.4,-86.47167
53854,33.46167,-80.85806
53855,39.36444,-84.52472
53858,30.46361,-88.53194
53859,39.59361,-84.22639
53860,30.3361,-81.5147
53861,31.35583,-85.75111
53862,30.07194,-83.57361
53863,33.875,-84.30222
53864,33.17833,-86.78167
53865,30.34333,-89.82222
53866,39.57806,-85.80333
53867,33.97056,-80.99583
53868,36.0236,-84.2375
53869,35.94028,-89.83083
53870,35.19667,-81.15583
53871,34.98694,-81.0575
53872,35.01694,-80.62056
53873,34.12306,-84.84861
53874,34.24861,-82.15917
53877,35.4945,-82.6142
53878,35.4185,-82.5567
53879,38.95972,-94.37139
53901,36.87806,-91.9025
53902,30.35667,-95.41389
53903,30.74389,-95.58611
53904,38.92861,-90.42806
53905,32.54278,-93.745
53907,32.66361,-97.09389
53908,36.03944,-95.98444
53909,32.97333,-97.31806
53910,30.0675,-95.55611
53911,32.71,-96.26722
53912,32.03111,-96.39889
53913,35.8517,-97.4142
53914,33.19028,-96.59139
53915,30.0375,-91.88389
53916,39.82333,-93.57917
53917,30.0494,-90.0288
53918,36.36889,-92.47028
53919,33.6361,-91.7556
53920,35.25778,-93.09472
53921,34.5467,-93.57806
53922,36.28333,-94.3
53925,34.05,-94.40083
53926,36.1181,-97.0914
53927,36.1346,-97.1082
53928,30.21889,-96.37417
53934,35.72611,-91.64722
53952,31.48472,-97.31639
53959,35.135,-90.23444
53960,30.0918,-91.8731
53961,32.8833,-92.1165
53964,33.25444,-97.58056
53965,33.11,-98.55528
53966,32.45611,-96.9125
53967,33.71417,-96.67361
53968,31.7796,-95.7232
53972,32.08361,-97.09722
53973,30.87194,-96.62222
53974,39.1027,-96.6098
53976,33.17528,-97.82833
53977,32.44444,-97.81694
53979,30.16917,-96.98
53981,32.35389,-97.43389
53985,35.21194,-91.73694
53988,31.15,-92.96667
53989,39.29417,-96.92639
53996,34.54528,-94.2025
53997,31.91667,-98.60028
54704,42.19083,-71.17361
54728,44.3675,-71.545
54733,42.58417,-70.9175
54734,41.37139,-73.48278
54737,40.12028,-76.29444
54740,43.34361,-72.51778
54742,44.42,-72.01944
54743,40.87639,-74.28306
54756,42.57,-72.29111
54757,42.10944,-77.99194
54767,41.74194,-72.18361
54768,42.7,-73.16667
54769,41.90972,-70.72944
54770,42.805,-72.00361
54771,44.53444,-72.61444
54772,43.99056,-70.9475
54773,43.34972,-76.38472
54777,41.87556,-71.02111
54778,42.6425,-77.05639
54779,41.00889,-74.73667
54780,41.07306,-71.92333
54781,42.89139,-73.24694
54782,40.23833,-75.55722
54785,40.62389,-74.66944
54786,40.33,-75.1225
54787,40.73417,-73.41694
54788,41.50972,-72.82778
54789,41.13889,-75.37944
54790,40.82167,-72.86889
54791,43.27806,-70.92222
54792,41.04667,-78.41167
54793,41.20028,-74.62306
54794,43.1716,-70.9277
54795,43.1092,-70.9484
54796,41.4911,-71.5413
54797,41.4782,-71.5417
54808,40.0528,-88.3729
54810,46.3345,-86.92
54811,41.843,-88.8513
54813,46.41667,-86.65
54831,40.48333,-88.95
54851,40.3667,-81.7829
54854,44.908,-84.7203
54902,41.5562,-93.2855
54903,44.0604,-90.1737
54911,45.10083,-90.30333
54932,46.1135,-92.9936
54933,45.7115,-99.1296
54937,46.7702,-99.4778
61705,-14.33056,-170.7136
63826,33.355,-81.3279
63828,31.3127,-84.4706
63829,31.1923,-84.4465
63831,32.3378,-89.0703
63838,38.0945,-84.7465
63849,37.2504,-86.2325
63850,33.7837,-83.3896
63855,36.0138,-85.1345
63856,30.8078,-81.4596
63857,34.2851,-85.9621
63858,32.4567,-87.2422
63862,34.5653,-85.6171
63867,34.1954,-86.7963
63868,34.6602,-87.3462
63869,30.5485,-87.8757
63870,31.0425,-86.31167
63871,30.84583,-85.60139
63872,31.95139,-85.12889
63873,31.35,-85.66667
63874,31.84556,-86.61083
63890,30.35028,-81.88306
63891,32.8516,-86.6115
63892,32.8369,-88.1374
63893,32.7169,-87.6226
63894,34.7728,-87.6399
63895,34.4535,-87.7104
63896,34.6941,-85.9998
63897,32.3349,-86.9787
63898,38.8882,-86.5707
63899,31.1449,-87.0518
64756,41.7857,-73.7422
64758,42.4401,-76.2462
64775,43.23389,-75.41167
64776,44.65,-73.46667
73801,33.2125,-87.5914
73802,31.9155,-86.3115
73803,33.5721,-86.0573
73805,30.349,-85.788
92805,26.25,-80.10833
92806,27.76472,-82.6275
92809,25.99889,-80.24111
92821,28.6159,-80.6929
92826,25.8996,-81.3183
92827,27.1526,-81.3689
93005,37.14306,-107.7603
93009,39.22917,-106.3169
93010,39.18944,-103.7158
93013,38.50583,-107.8989
93026,31.4583,-109.6061
93027,34.51833,-109.3792
93033,32.3335,-104.258
93034,32.6933,-103.2125
93035,30.37139,-104.0167
93037,38.81,-104.6884
93041,32.28333,-106.9167
93042,36.0167,-102.55
93045,33.23667,-107.2681
93058,38.2901,-104.4983
93063,32.63333,-108.1667
93067,39.57028,-104.8489
93069,37.30694,-108.6264
93073,39.23,-106.8706
93075,38.75,-109.7628
93083,33.45,-105.5167
93084,32.85472,-109.6353
93097,32.83972,-105.9906
93102,39.41667,-118.7167
93104,35.6875,-117.6931
93107,32.86667,-117.1333
93110,34.20083,-119.2069
93111,34.11667,-119.1167
93112,32.7,-117.2
93115,32.56667,-117.1167
93129,37.7086,-113.0944
93134,34.0236,-118.2911
93138,33.82806,-116.5053
93141,39.60917,-110.7547
93167,35.2577,-113.933
93184,33.68,-117.8664
93193,36.78,-119.7194
93197,34.01583,-118.4514
93205,39.1019,-121.5677
93206,35.23722,-120.6414
93209,35.6697,-120.6283
